system:index,cover_crop,id,latitude,longitude,preplant_EVI,preplant_LAI,preplant_NDVI,preplant_SAVI,preplant_date,sampling_EVI,sampling_LAI,sampling_NDVI,sampling_SAVI,sampling_date,.geo
0,"Mixtures (45% grass (rye, vetch), 55% legume (crimson clover))",1,40.199152,-88.142212,0.2380091109872245,1.1601370181369726,0.4360259062023253,0.24046924151199497,2018-12-15,0.4273392730682992,1.943078886248876,0.5790628976312738,0.3799929646866561,2018-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,"Mixtures (50% rye, 50% red clover)",2,40.07206,-89.02222,0.4772615182663805,1.8110897023471224,0.5944407564225918,0.4458308791550658,2017-12-15,0.14944756489444105,0.5574830741060312,0.24315166876199407,0.1489009354043001,2018-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,"Mixtures (70% rye, 30% red clover)",3,40.44692,-88.22628,0.586022304510056,2.162901892784753,0.6414434121118189,0.4571661629290262,2017-12-01,0.28882737864974006,1.1428878767599517,0.4345672944765031,0.2764527810149454,2018-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Rye,4,40.688343,-87.848978,0.31746771980552013,1.3520298167155893,0.4912702662819737,0.31025666191431484,2017-10-20,0.31877410886601626,1.4669185407100376,0.5192610230214828,0.30027300800198575,2018-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,"Mixtures (60% rye, 40% red clover)",5,40.617248,-89.839644,0.20246247464206948,0.9763638531985394,0.3829358579388809,0.2100135543344307,2018-01-01,0.5317099040530459,2.5300307017454857,0.6895224936378117,0.47410861178750585,2018-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Rye,6,39.854626,-88.730996,0.19550598038600497,1.1257058775996593,0.42905420704825414,0.20154660164508706,2017-10-04,0.4424226114312166,1.7350884766759904,0.5787799399813973,0.39171554896279365,2018-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Rye,7,39.84988,-88.813538,0.23706426999147007,0.9300859240994682,0.36393823388501406,0.219739305698063,2017-11-05,0.24207821033306823,0.8534644799063804,0.3439487222364056,0.21832460314198646,2018-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Rye,8,39.93139,-88.69083,0.1210290367732154,0.5201946695824463,0.22895368654582715,0.1274140142455879,2017-11-16,0.284761611760849,1.0841824757112757,0.41790075145709615,0.2635689346943905,2018-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Rye,9,39.92762,-88.74301,0.12118281650084738,0.41501217916595695,0.18736912168498432,0.12588650613502916,2017-11-05,0.17209210418559354,0.6357558467423683,0.2722861440093748,0.1655659746129082,2018-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Rye,10,39.95688,-85.20786,0.1502629111244274,0.5283388648854349,0.22942121748456468,0.15073345880000977,2017-12-06,0.16045363993930287,0.5664040299204958,0.2423974808250446,0.16086989574876617,2018-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
